iter	Logloss
175	0.4088214884
176	0.4084085013
177	0.4083266453
178	0.4080392463
179	0.4077627269
180	0.4074745777
181	0.4070513446
182	0.4065631406
183	0.4063058024
184	0.4058210146
185	0.4054410997
186	0.4051335724
187	0.4045675815
188	0.4040941622
189	0.4037526426
190	0.4035271133
191	0.4033915714
192	0.4033417024
193	0.4030454035
194	0.4025296948
195	0.4020387024
196	0.4018258522
197	0.4017617716
198	0.4016679794
199	0.4013051347
200	0.4010920899
201	0.4007784789
202	0.4006294392
203	0.400393615
204	0.3996655038
205	0.3990008908
206	0.3985712743
207	0.3980736745
208	0.3978775503
209	0.3977276305
210	0.3976411784
211	0.397340975
212	0.3972360659
213	0.3969971149
214	0.3968521058
215	0.3965420499
216	0.3963744886
217	0.3961911711
218	0.3959441709
219	0.3956278585
220	0.395109105
221	0.3945953809
222	0.3943206155
223	0.3939496786
224	0.3934654838
225	0.3931745079
226	0.3929853064
227	0.3928617667
228	0.3924551093
229	0.3922441616
230	0.3918545417
231	0.3915485822
232	0.3914031811
233	0.3911360934
234	0.3908238549
235	0.3905679595
236	0.3904209921
237	0.390230237
238	0.3892348408
239	0.3889113286
240	0.3885836688
241	0.3882401925
242	0.3880062682
243	0.3878155237
244	0.3875535344
245	0.3873224558
246	0.3868415743
247	0.386710228
248	0.3864114465
249	0.385933173
250	0.3856031816
251	0.3853551304
252	0.3852018947
253	0.3847955229
254	0.3845381275
255	0.3840942416
256	0.3839813962
257	0.3838023878
258	0.3836219996
259	0.3833867339
260	0.3832854501
261	0.3829925635
262	0.3827769474
263	0.3826165503
264	0.3823796396
265	0.3821862458
266	0.3817736151
267	0.3814050829
268	0.3811108988
269	0.3809822744
270	0.3807892514
271	0.3805104311
272	0.380422712
273	0.3801707663
274	0.3797581089
275	0.3796038581
276	0.3794007746
277	0.3792110551
278	0.3788592013
279	0.3785237803
280	0.3783010649
281	0.3777865222
282	0.3776433684
283	0.3774328827
284	0.3773615941
285	0.3773167779
286	0.3772032967
287	0.3770366781
288	0.3767449663
289	0.3763828869
290	0.3760120673
291	0.3758649063
292	0.3757496407
293	0.3755853526
294	0.3753269103
295	0.375074915
296	0.3749078576
297	0.3746462841
298	0.3746179576
299	0.3741732663
300	0.3738256801
301	0.3736791967
302	0.3735689861
303	0.3734164194
304	0.3731676765
305	0.3731284614
306	0.3730847
307	0.3727601335
308	0.3727078869
309	0.3724118936
310	0.3723156299
311	0.3719801352
312	0.3718241197
313	0.3715635813
314	0.3712695343
315	0.3711155339
316	0.3709930975
317	0.3707212401
318	0.3705508852
319	0.3704159732
320	0.3702516814
321	0.370168326
322	0.370160674
323	0.3700204796
324	0.3697586213
325	0.3696032597
326	0.3693703794
327	0.3690973737
328	0.3689374836
329	0.3687195165
330	0.3686096087
331	0.3683735783
332	0.3682282502
333	0.3680900724
334	0.3677281042
335	0.3676938172
336	0.3675094629
337	0.3671996781
338	0.3669917024
339	0.3668714728
340	0.3666621178
341	0.3663887348
342	0.3663073437
343	0.3661763031
344	0.3660504112
345	0.3659079084
346	0.3658291981
347	0.365522423
348	0.3653775073
349	0.3652414611
350	0.3651269061
351	0.3651153395
352	0.3649363926
353	0.364742498
354	0.3644764061
355	0.3641418768
356	0.3640142818
357	0.363867454
358	0.3635914373
359	0.3635049344
360	0.3632895053
361	0.3630711014
362	0.3627602487
363	0.3626699826
364	0.3625821077
365	0.3621464402
366	0.3618506505
367	0.3616388391
368	0.3614905846
369	0.3613373207
370	0.361044728
371	0.3608100554
372	0.3605928338
373	0.3603016793
374	0.3601984102
375	0.3600552523
376	0.3599869435
377	0.3597234965
378	0.3595736762
379	0.3593643318
380	0.3592190386
381	0.3590698922
382	0.3587595697
383	0.3584949899
384	0.3583804799
385	0.3583722391
386	0.3581854786
387	0.3579514824
388	0.3577334426
389	0.3576018303
390	0.3574763593
391	0.3572630293
392	0.3570827939
393	0.3569896112
394	0.356651917
395	0.3565885879
396	0.3563473769
397	0.3560811387
398	0.3560432201
399	0.3559114593
400	0.355617326
401	0.3555743128
402	0.3555287383
403	0.3554242185
404	0.355216188
405	0.3550339836
406	0.3549965651
407	0.3548030448
408	0.354624937
409	0.35433321
410	0.3541246958
411	0.3539640818
412	0.3537501898
413	0.353594261
414	0.3534741874
415	0.3533650519
416	0.3532457421
417	0.3530176364
418	0.3527097074
419	0.3525763832
420	0.3524613301
421	0.3522287962
422	0.3521013897
423	0.3520458839
424	0.3519529452
425	0.3518636471
426	0.3517295378
427	0.3514584381
428	0.3512250409
429	0.3510589838
430	0.3508795682
431	0.3506987558
432	0.3505794685
433	0.350541746
434	0.3504339805
435	0.3502232187
436	0.3500961456
437	0.3498676481
438	0.3497550279
439	0.3496758153
440	0.3495826738
441	0.3495241206
442	0.3494859559
443	0.3493015969
444	0.3490540636
445	0.3488773475
446	0.3486509058
447	0.3485138925
448	0.3482663843
449	0.3481536933
450	0.3478542983
451	0.3476950304
452	0.3476134106
453	0.3474922502
454	0.3473247129
455	0.3472550792
456	0.3471570654
457	0.3470694176
458	0.347054024
459	0.346909219
460	0.3466854199
461	0.3465751286
462	0.3464332453
463	0.3462174066
464	0.3462107426
465	0.3459959349
466	0.3457702352
467	0.3456529286
468	0.3454243481
469	0.345288204
470	0.3452707337
471	0.3451357897
472	0.3450403031
473	0.3448314121
474	0.3445989241
475	0.34447158
476	0.3442625955
477	0.3442235647
478	0.3441456349
479	0.344042574
480	0.3439138901
481	0.3436759954
482	0.3436030165
483	0.3433902068
484	0.3431442117
485	0.3430959688
486	0.3427173976
487	0.3425760496
488	0.342351521
489	0.3420983535
490	0.3419530385
491	0.3418543345
492	0.3416670721
493	0.3414800238
494	0.3413225578
495	0.3411747052
496	0.341099455
497	0.3409092968
498	0.3407134166
499	0.3405976296
