iter	Logloss
0	0.6525744715
1	0.6205703671
2	0.5965763154
3	0.5776432481
4	0.565258754
5	0.5531286941
6	0.5448494522
7	0.5360481765
8	0.5296574853
9	0.5248337899
10	0.5199034438
11	0.5166044891
12	0.5136645199
13	0.5104510827
14	0.5083082586
15	0.5061394109
16	0.5039542006
17	0.5023166624
18	0.5008553693
19	0.4994919844
20	0.4981312746
21	0.49681395
22	0.4955519918
23	0.4941660787
24	0.4932285852
25	0.4920513991
26	0.491259653
27	0.4896628761
28	0.4886400979
29	0.4876540212
30	0.4866341657
31	0.4842851542
32	0.4835152971
33	0.4822710287
34	0.4815398424
35	0.4804216119
36	0.4799476163
37	0.4791498746
38	0.4781360882
39	0.4777009077
40	0.4769418928
41	0.4764213259
42	0.4754720195
43	0.4750487752
44	0.4741520508
45	0.4736876194
46	0.4729013366
47	0.4722824162
48	0.4717121977
49	0.4709323722
50	0.4701299532
51	0.4694750181
52	0.4691763421
53	0.4685515998
54	0.4677677563
55	0.4674127806
56	0.4670078629
57	0.4658941467
58	0.4654268526
59	0.4648027538
60	0.4642594631
61	0.4627836372
62	0.4623340247
63	0.4618915513
64	0.4613843653
65	0.4609202706
66	0.460288847
67	0.4598872261
68	0.4592334283
69	0.4588045984
70	0.4578914474
71	0.4574526975
72	0.456623797
73	0.4561386697
74	0.4551157348
75	0.4546615737
76	0.4543307479
77	0.4536693041
78	0.4529172416
79	0.4524740459
80	0.4518773383
81	0.4518577753
82	0.4512280496
83	0.4509958053
84	0.4501512102
85	0.4498230062
86	0.4493166345
87	0.4491364259
88	0.4486773216
89	0.4481055592
90	0.447664927
91	0.4471794665
92	0.4463800102
93	0.4460349294
94	0.4459747693
95	0.4456298607
96	0.4453553886
97	0.4448542708
98	0.4444271677
99	0.4436080809
100	0.4432974327
101	0.4429137185
102	0.4424535165
103	0.4421076995
104	0.441544147
105	0.4409395922
106	0.4407473126
107	0.4403489448
108	0.4396019489
109	0.4387015293
110	0.438229641
111	0.4378376524
112	0.4373479646
113	0.4370879629
114	0.4367029479
115	0.436088637
116	0.4353828883
117	0.4350778282
118	0.4348417074
119	0.4343144517
120	0.4335125996
121	0.4331549959
122	0.4322500742
123	0.431550312
124	0.4311727898
125	0.4305379699
126	0.4300443607
127	0.429183413
128	0.4289166449
129	0.4284984765
130	0.427981399
131	0.4274289241
132	0.4267067536
133	0.4249548774
134	0.4245212321
135	0.4236551158
136	0.4231322195
137	0.4226862974
138	0.4222788748
139	0.4221016344
140	0.4215393184
141	0.4209581557
142	0.4206438053
143	0.4199488774
144	0.4196635504
145	0.4193439469
146	0.4189637486
147	0.4186132809
148	0.4181465674
149	0.4177896636
150	0.4172480649
151	0.4169008875
152	0.416457022
153	0.4161488362
154	0.4157785507
155	0.4154838422
156	0.4153596381
157	0.4149429508
158	0.4147881766
159	0.4144181181
160	0.4142443338
161	0.413830514
162	0.4135960793
163	0.4133100573
164	0.4129399367
165	0.4127249419
166	0.4122140318
167	0.4116259001
168	0.4112971646
169	0.4108068731
170	0.4106271226
171	0.4104273076
172	0.410260512
173	0.4097865939
174	0.4093746965
